"icd_code","icd_name","icd_full","so_lan_xuat_hien"
"J00","Viêm mũi họng cấp [cảm thường]","J00 - Viêm mũi họng cấp [cảm thường]","1020"
"J20","Viêm phế quản cấp","J20 - Viêm phế quản cấp","583"
"J02","Viêm họng cấp","J02 - Viêm họng cấp","562"
"K02","Sâu răng","K02 - Sâu răng","378"
"J18.0","Viêm phế quản phổi, không đặc hiệu","J18.0 - Viêm phế quản phổi, không đặc hiệu","246"
"J01","Viêm mũi xoang cấp tính","J01 - Viêm mũi xoang cấp tính","214"
"I10","Tăng huyết áp vô căn (nguyên phát)","I10 - Tăng huyết áp vô căn (nguyên phát)","206"
"Z00.8","Các loại khám tổng quát khác","Z00.8 - Các loại khám tổng quát khác","169"
"K29","Viêm dạ dày và tá tràng","K29 - Viêm dạ dày và tá tràng","161"
"W54","Bị chó cắn, đả thương","W54 - Bị chó cắn, đả thương","154"
"J09","Cúm do vi rút đã được định danh","J09 - Cúm do vi rút đã được định danh","152"
"E11","Bệnh đái tháo đường type 2","E11 - Bệnh đái tháo đường type 2","144"
"J03","Viêm amidan cấp","J03 - Viêm amidan cấp","144"
"K05","Viêm lợi [nướu] và bệnh quanh răng","K05 - Viêm lợi [nướu] và bệnh quanh răng","144"
"K21","Bệnh trào ngược dạ dày- thực quản","K21 - Bệnh trào ngược dạ dày- thực quản","141"
"Z00","Khám tổng quát và kiểm tra sức khoẻ cho những người không có bệnh được chẩn đoán trước đó hoặc không có than phiền về sức khoẻ","Z00 - Khám tổng quát và kiểm tra sức khoẻ cho những người không có bệnh được chẩn đoán trước đó hoặc không có than phiền về sức khoẻ","140"
"L20","Viêm da cơ địa","L20 - Viêm da cơ địa","115"
"K29.6","Viêm dạ dày khác","K29.6 - Viêm dạ dày khác","113"
"J21","Viêm tiểu phế quản cấp","J21 - Viêm tiểu phế quản cấp","111"
"K05.6","Bệnh quanh răng, không đặc hiệu","K05.6 - Bệnh quanh răng, không đặc hiệu","111"
"N76","Các viêm khác của âm đạo và âm hộ","N76 - Các viêm khác của âm đạo và âm hộ","108"
"B08.4","Viêm họng có phỏng nước do vi rút Entero có phát ban [Bệnh Tay chân miệng]","B08.4 - Viêm họng có phỏng nước do vi rút Entero có phát ban [Bệnh Tay chân miệng]","107"
"J06.9","Nhiễm trùng đường hô hấp trên cấp, không xác định","J06.9 - Nhiễm trùng đường hô hấp trên cấp, không xác định","106"
"H10","Viêm kết mạc","H10 - Viêm kết mạc","95"
"B18.1","Viêm gan vi rút B mạn tính, không đồng nhiễm viêm gan vi rút D","B18.1 - Viêm gan vi rút B mạn tính, không đồng nhiễm viêm gan vi rút D","94"
"Z34","Theo dõi thai bình thường","Z34 - Theo dõi thai bình thường","87"
"L23","Viêm da tiếp xúc dị ứng","L23 - Viêm da tiếp xúc dị ứng","86"
"M54.2","Đau vùng cổ gáy","M54.2 - Đau vùng cổ gáy","86"
"M54","Đau lưng","M54 - Đau lưng","83"
"K03.6","Cao răng","K03.6 - Cao răng","82"
