so_dang_ky,ten_thuoc,hoat_chat,noi_dung_dieu_tri,ma_icd,trang_thai_xac_nhan,dang_bao_che,danh_muc,ham_luong,url_nguon
VN-10300-05,Zithromax 200mg/5ml,Azithromycin,"Chỉ định Azithromycin
Azithromycin được chỉ định cho các nhiễm khuẩn do vi khuẩn nhạy cảm trong: - Nhiễm khuẩn đường hô hấp dưới, - Nhiễm khuẩn đường hô hấp trên, - Nhiễm khuẩn da và mô mềm, - Các nhiễm khuẩn lây truyền qua đường tình dục không do lậu, - Các nhiễm Chlamydia trachomatis không biến chứng ở đường sinh dục.",,Pending,Bột pha hỗn dịch uống,,,https://thuocbietduoc.com.vn/thuoc-2917/zithromax-200mg5ml.aspx
VN-8602-04,Myonal 50mg,Eperisone,"Chỉ định
- Liệt cứng do: bệnh mạch máu não, liệt cứng do tủy, thoái hoá đốt sống cổ, di chứng sau phẫu thuật. - Cải thiện các triệu chứng tăng trương lực cơ trong hội chứng đốt sống cổ. - viêm quanh khớp vai & thắt lưng.",,Pending,Viên nén,,,https://thuocbietduoc.com.vn/thuoc-10785/myonal-50mg.aspx
VN-15092-12,Arcoxia 90mg,Etoricoxib,"Chỉ định Etoricoxib
Thuốc etoricoxib giúp giảm đau và sưng (viêm); ở khớp và cơ bắp của người bị viêm xương khớp, viêm khớp dạng thấp, viêm đốt sống dính khớp và bệnh gút.
Etoricoxib cũng được sử dụng để điều trị ngắn hạn các cơn đau mức độ vừa phải sau khi phẫu thuật nha khoa.",,Pending,Viên nén bao phim,,,https://thuocbietduoc.com.vn/thuoc-42241/arcoxia-90mg.aspx
VD-21111-14,Partamol 500mg,Acetaminophen,"Chỉ định Paracetamol
Paracetamol được dùng rộng rãi trong điều trị các chứng đau và sốt từ nhẹ đến vừa. 
* Giảm đau: 
Paracetamol được dùng giảm đau tạm thời trong điều trị chứng đau nhẹ và vừa: đau đầu, đau răng, đau bụng kinh... Thuốc có hiệu quả nhất là giảm đau cường độ thấp có nguồn gốc không phải nội tạng. Paracetamol không có tác dụng trị thấp khớp. Paracetamol là thuốc thay thế salicylat (được ưa thích ở người bệnh chống chỉ định hoặc không dung nạp salicylat) để giảm đau nhẹ hoặc hạ sốt. 
* Hạ sốt:


Paracetamol thường được dùng để giảm thân nhiệt ở người bệnh sốt, khi sốt có thể có hại hoặc khi hạ sốt nói chung không đặc hiệu, không ảnh hưởng đến tiến trình của bệnh cơ bản và có thể che lấp tình trạng bệnh của người bệnh.",,Pending,Viên nén,,,https://thuocbietduoc.com.vn/thuoc-355/partamol-500mg.aspx
VN-14201-11,Doniwell,Levosulpiride,"Chỉ định Levosulpiride
Làm giảm các triệu chứng khó tiêu chức năng: trướng bụng, khó chịu vùng thượng vị, ợ nóng, ợ hơi, buồn nôn, nôn.
Điều trị tâm thần phân liệt cấp và mạn tính.",,Pending,Viên nén,,,https://thuocbietduoc.com.vn/thuoc-43626/doniwell.aspx
VN-0465-06,Diamicron MR,Gliclazide,"Chỉ định Gliclazide
Ðái tháo đường týp 2 (không lệ thuộc insulin), phối hợp với chế độ ăn kiêng phù hợp, khi sự kiểm soát đường huyết không đạt được bằng chế độ ăn kiêng đơn thuần.",,Pending,Viên nén phóng thích có kiểm soát-30mg,,,https://thuocbietduoc.com.vn/thuoc-11910/diamicron-mr.aspx
VN-1476-06,Fasigyne,Tinidazole,"Chỉ định Tinidazole
Dự phòng: Ngăn ngừa nhiễm khuẩn sau phẫu thuật do vi khuẩn kỵ khí, đặc biệt là những nhiễm khuẩn sau phẫu thuật đại tràng, tiêu hóa và phụ khoa. Ðiều trị những nhiễm khuẩn sau: 
Nhiễm khuẩn kỵ khí như: 
- Nhiễm khuẩn trong phúc mạc: viêm phúc mạc, áp-xe. 
- Nhiễm khuẩn phụ khoa: viêm nội mạc tử cung, viêm cơ tử cung, áp-xe tử cung-buồng trứng. 
- Nhiễm khuẩn huyết.
 - Nhiễm khuẩn sau phẫu thuật. 
- Nhiễm khuẩn da và mô mềm. 
- Nhiễm khuẩn đường hô hấp trên và dưới: viêm phổi, viêm mủ màng phổi, áp-xe phổi.
 Viêm âm đạo không đặc hiệu. Viêm loét lợi cấp tính. Bệnh Trichomonas đường niệu dục ở cả nam lẫn nữ. Bệnh Giardia. Bệnh amip ruột. Bệnh amip gan.",,Pending,Viên nén bao phim-500mg,,,https://thuocbietduoc.com.vn/thuoc-21471/fasigyne.aspx
VN-17206-13,Betaserc 16mg,Betahistine dihydrochloride 16mg,"Chỉ định Betahistine
Ðiều trị hội chứng Ménière. Hội chứng này thường được biểu hiện bằng chứng chóng mặt, ù tai, nôn ói, nhức đầu và đôi khi kèm theo mất thính lực. Ðiều trị chứng chóng mặt nguyên nhân tiền đình.",,Pending,Viên nén,,,https://thuocbietduoc.com.vn/thuoc-44903/betaserc-16mg.aspx
VN-6459-02,Imdur,Isosorbide 5 Mononitrate,"Chỉ định Isosorbide
- Isosorbid dinitrat là thuốc đầu bảng điều trị cơn đau thắt ngực ở ngoại thể, cắt cơn đau nhanh chóng, có tác dụng rất tốt với cơn đau thắt ngực Prinzmetal. - Phòng cơn đau thắt ngực. - Điều trị nhồi máu cơ tim do thuốc làm hẹp được diện tích thiếu máu và ngoại tử. - Điều trị tăng huyết áp. - Điều trị suy tim sung huyết nhất là suy tim trái có tăng áp lực mao mạch phổi và tăng sức cản ngoại vi.",,Pending,Viên nén tác dụng chậm,,,https://thuocbietduoc.com.vn/thuoc-13219/imdur.aspx
VN-0549-06,Medrol,Methylprednisolone,"Chỉ định Methylprednisolone
Chỉ nên xem việc điều trị với các glucocorticoid như là việc điều trị triệu chứng, ngoại trừ trường hợp rối loạn nội tiết tố mà các thuốc này được dùng như một điều trị thay thế. Tiêm bắp: Methylprednisolone acetate không thích hợp trong các bệnh cấp nguy hại đến tính mạng. Nếu cần một tác động nội tiết tố với cường độ tối đa nhanh chóng, nên chỉ định tiêm tĩnh mạch methylprednisolone sodium succinate tan mạnh trong nước (Solu-Medrol). Khi không thể dùng thuốc theo đường uống và chế phẩm có thể thích hợp cho việc điều trị, tiêm bắp thịt được chỉ định như sau: Ðiều trị kháng viêm: Bệnh khớp: Ðiều trị hỗ trợ với một liệu pháp duy trì (giảm đau, liệu pháp vận động, vật lý trị liệu, vv) và điều trị trong một thời gian ngắn (để bệnh nhân vượt khỏi cơn cấp tính hoặc tình trạng tăng nặng của bệnh): - Viêm khớp do vẩy nến. - Viêm đốt sống do thấp. Ðối với các chỉ định sau đây, thường hay dùng tại chỗ nếu có thể: - Viêm xương khớp sau chấn thương. - Viêm bao hoạt dịch hay viêm xương khớp. - Viêm khớp dạng thấp, bao gồm viêm khớp trẻ em (các trường hợp đặc biệt cần phải sử dụng liệu pháp duy trì). - Viêm bao hoạt dịch cấp và bán cấp. - Viêm mõm lồi cầu. - Viêm bao gân cấp không đặc hiệu. - Viêm khớp cấp do bệnh thống phong. Bệnh tạo keo: Dùng trong pha tăng bệnh trầm trọng hay trong liệu pháp duy trì trong những trường hợp đặc biệt của: - Lupus (ban đỏ hệ thống). - Viêm tim cấp do thấp. - Viêm đa cơ. Bệnh về da: - Viêm da tấy (Pemphigus). - Ban đỏ đa dạng cấp tính (hội chứng Steven-Johnson). - Viêm da tróc vẩy. - Viêm da bóng nước do Herpes. - Viêm da tiết bả nhờn. - Bệnh vẩy nến nặng. - U sùi dạng nấm. Các trạng thái dị ứng: Kiểm soát các trạng thái dị ứng nặng hoặc khó trị đã thất bại với cách điều trị thông thường: - Hen phế quản. - Viêm da tiếp xúc. - Viêm da dị ứng. - Bệnh huyết thanh. - Viêm mũi dị ứng. - Dị ứng do dùng thuốc. - Phản ứng dịch truyền. - Phù thanh quản cấp tính không do nhiễm khuẩn. Các bệnh về mắt: Các tiến trình viêm và dị ứng cấp tính như: - Zona mắt. - Viêm mống mắt, viêm mống mắt thể mi. - Viêm màng mạch võng mạc. - Viêm màng mạch nho sau lan tỏa. - Viêm thần kinh thị. - Phản ứng nhạy cảm với thuốc. - Viêm tiền phòng mắt. - Viêm kết mạc dị ứng. - Loét giác mạc dị ứng. - Viêm giác mạc. Bệnh hệ tiêu hóa: Dùng để đưa bệnh nhân qua khỏi cơn nguy kịch của bệnh trong: - Viêm loét đại tràng. - Bệnh Crohn. Các tình trạng phù: - Ðể giúp bài niệu và giảm protein niệu trong hội chứng thận hư vô căn, không kèm urê máu cao, hay hội chứng thận hư do lupus ban đỏ. Bệnh của hệ hô hấp: - Bệnh Sarcoid phổi. - Ngộ độc berylli. - Lao phổi cấp hay lan tỏa khi đã được sử dụng thuốc kháng lao. - Hội chứng Loeffler không có khả năng dùng thuốc khác. - Viêm phổi hít. Ðiều trị các bệnh về huyêt học và ung thư: Các bệnh về huyết học: - Thiếu máu tán huyết mắc phải (tự miễn). - Giảm tiểu cầu thứ phát ở người lớn. - Giảm nguyên hồng cầu (thiếu máu RBC). - Thiếu máu giảm sản bẩm sinh (dòng hồng cầu). Bệnh ung thư: Ðiều trị tạm thời trong: - Bệnh bạch cầu và U lympho. - Bệnh bạch cầu cấp ở trẻ em. Các bệnh nội tiết: - Suy vỏ thượng thận tiên phát hay thứ phát. - Suy vỏ thượng thận cấp (hydrocortisone và cortisone là thuốc được ưu tiên chọn lựa). Những chất tương đồng tổng hợp có thể được dùng cùng với mineralocorticoid; ở trẻ em, sự cung cấp mineralocorticoid rất quan trọng. - Tăng sản thượng thận bẩm sinh. - Tăng calcium máu do ung thư. - Viêm tuyến giáp không sinh mủ. Tiêm vào bao hoạt dịch, túi hoạt dịch, quanh khớp hay mô mềm: Methylprednisolone acetate được chỉ định như một trị liệu hỗ trợ trong những đợt trị liệu ngắn ngày: - Viêm bao hoạt dịch của viêm xương khớp. - Viêm khớp dạng thấp. - Viêm bao hoạt dịch cấp và bán cấp. - Viêm khớp cấp do bệnh thống phong. - Viêm mõm lồi cầu. - Viêm bao gân cấp không đặc hiệu. - Viêm xương khớp sau chấn thương. Tiêm vào sang thương: Methylprednisolone acetate được chỉ định để tiêm vào trong sang thương trong những bệnh sau: - U sùi. - Các sang thương viêm trong phì đại tại chỗ, thâm nhiễm: mãng lichen, mãng vẩy nến, u hạt vòng và viêm da-thần kinh. - Rụng tóc từng vùng. Methylprednisolone acetate cũng được sử dụng trong bướu bàng quang hay u hạch thần kinh. Nhỏ giọt vào trực tràng: - Viêm loét đại tràng.",,Pending,Viên nén,,,https://thuocbietduoc.com.vn/thuoc-15644/medrol.aspx
