so_dang_ky,ten_thuoc,hoat_chat,noi_dung_dieu_tri,dang_bao_che,danh_muc,ham_luong,url_nguon
VD-20858-14,Prednison 5mg,Prednison 5mg,"Chỉ định Prednisone
Các bệnh lý khớp, bệnh chất tạo keo, da, mắt, hô hấp, huyết học, thận & dị ứng đáp ứng với corticosteroids.",Viên nén (màu cam);,,,https://thuocbietduoc.com.vn/thuoc-46575/prednison-5mg.aspx
VD-20771-14,Vitamin E 400,Vitamin E 400 IU,,Viên nang mềm,,,https://thuocbietduoc.com.vn/thuoc-46721/vitamin-e-400.aspx
VN-18417-14,Zetedine Inj 500mg,Imipenem (dưới dạng Imipenem monohydrat 530 mg) 500 mg; Cilastatin (dưới dạng cilastatin natri 532 mg) 500 mg,"Chỉ định Imipenem
mipenem không phải là một thuốc lựa chọn đầu tiên mà chỉ dành cho những nhiễm khuẩn nặng. Imipenem - cilastatin có hiệu quả trên nhiều loại nhiễm khuẩn, bao gồm nhiễm khuẩn đường tiết niệu và đường hô hấp dưới; nhiễm khuẩn trong ổ bụng và phụ khoa; nhiễm khuẩn da, mô mềm, xương và khớp. Thuốc đặc biệt có ích trong điều trị những nhiễm khuẩn hỗn hợp mắc trong bệnh viện. Ðiều trị nhiễm khuẩn do nhiều loại vi khuẩn hỗn hợp mà những thuốc khác có phổ hẹp hơn hoặc bị chống chỉ định do có tiềm năng độc.",Bột pha tiêm,,,https://thuocbietduoc.com.vn/thuoc-47244/zetedine-inj-500mg.aspx
VD-10500-10,Terpinzoat,"Terpin hydrat 100mg, Natri benzoat 50mg","Chỉ định Terpin hydrat
Terpin hydrate được sử dụng trong điều trị các chứng viêm phế quản cấp và mãn tính.  


– Có thể được sử dụng kết hợp với một số chế phẩm khác. VD : Codein trong điều trị ho do viêm phế quản. 
– Dùng hỗn hợp với Codein, viên terpin codein làm thuốc ho long đờm, chữa viêm loét, các niêm mạc thuộc đường hô hấp.
 – Dạng cis hidrat thường được sử dụng trị ho long đờm. 
– Thường được kết hợp với Codein, Natri benzoate có tác dụng chữa ho, long đờm trong điều trị viêm phế quản cấp hay mãn tính. – Tăng tiết dịch khí quản (long đờm).",,,,https://thuocbietduoc.com.vn/thuoc-36449/terpinzoat.aspx
VD-11061-10,Ospexin 250mg,Cephalexin 250mg,"Chỉ định Cephalexin
- Nhiễm khuẩn đường hô hấp: viêm phế quản cấp và mãn và giãn phế quản có bội nhiễm. - Nhiễm khuẩn tai mũi họng: viêm tai giữa, viêm xương chũm, viêm xoang, viêm amydale và viêm họng. - Nhiễm trùng đường tiểu: viêm bể thận cấp và mãn, viêm bàng quang và viêm tuyến tiền liệt. Dự phòng nhiễm khuẩn đường niệu tái phát. - Nhiễm khuẩn sản và phụ khoa. - Nhiễm khuẩn da, mô mềm và xương. - Bệnh lậu và giang mai (khi dùng penicilline không phù hợp) - Trong nha khoa: thay thế tạm thời điều trị phòng ngừa với penicilline cho bệnh nhân mắc bệnh tim phải điều trị bệnh răng.",,,,https://thuocbietduoc.com.vn/thuoc-35779/ospexin-250mg.aspx
VN-9739-10,Alkoxime-250,Cefuroxim Axetil,"Chỉ định Cefuroxime
Nhiễm khuẩn đường hô hấp dưới như viêm phổi và viêm phế quản cấp và mạn.  Nhiễm khuẩn đường hô hấp trên như nhiễm khuẩn ở tai, mũi, họng ví dụ như viêm tai giữa, viêm xoang, viêm amydale và viêm họng.",Viên nén bao phim,,,https://thuocbietduoc.com.vn/thuoc-33766/alkoxime-250.aspx
VN-9630-10,Philproeye Eye Drops,Ciprofloxacin,"Chỉ định Ciprofloxacin
Các bệnh nhiễm trùng có biến chứng và không biến chứng gây ra do các bệnh nguyên nhạy cảm với ciprofloxacin. 


- Các bệnh nhiễm trùng của: 
*Đường hô hấp. Trong các trường hợp viêm phổi do phế cầu (Pneumococcus) ở bệnh nhân ngoại trú, không nên dùng Ciprofloxacin như là một thuốc đầu tay. Tuy nhiên Ciprofloxacin có thể được dùng trong trường hợp viêm phổi do Klebsiella, Enterobacter, Proteus, Pseudomonas, Haemophilus, Branhamella, Legionella và Staphylococcus. . Tai giữa (viêm tai giữa) và các xoang (viêm xoang), đặc biệt nguyên nhân do vi khuẩn gram âm, kể cả Pseudomonas hay Staphylococcus. .
*Mắt. . Thận và/hoặc đường tiết niệu. . Cơ quan sinh dục, kể cả bệnh lậu, viêm phần phụ, viêm tiền liệt tuyến. . Ổ bụng (như nhiễm trùng đường tiêu hóa hoặc đường mật, viêm phúc mạc). 
* Da và mô mềm. 
* Xương khớp. 
*Nhiễm trùng huyết. 
*Nhiễm trùng hoặc có nguy cơ nhiễm trùng (dự phòng) trên bệnh nhân có hệ miễn dịch suy yếu (như bệnh nhân bị suy giảm miễn dịch hoặc có tình trạng giảm bạch cầu). 
- Chỉ định cho tình trạng khử nhiễm ruột có chọn lọc trên bệnh nhân suy giảm miễn dịch (Ciprofloxacin dạng uống).",Dung dịch nhỏ mắt,,,https://thuocbietduoc.com.vn/thuoc-33305/philproeye-eye-drops.aspx
VN-7763-09,"Norcobalamin tablets 0,5mg",Mecobalamin,"Chỉ định Mecobalamine
Các bệnh lý thần kinh ngoại biên. Thiếu máu hồng cầu to do thiếu vitamin B12.",Viên nén bao đường,,,https://thuocbietduoc.com.vn/thuoc-30205/norcobalamin-tablets-05mg.aspx
VN-9534-10,Reniate,Enalapril maleate,"Chỉ định Enalapril
Tất cả các độ cao huyết áp vô căn: Enalapril maleate có thể dùng một mình hay kết hợp với các thuốc chống cao huyết áp khác. Trong cao huyết áp nồng độ renin thấp, Enalapril maleate ít có tác dụng.
Cao huyết áp thận: Trong trường hợp cao huyết áp nồng độ renin cao, hiệu quả thuốc tăng mạnh. 
Suy tim: Dùng phụ trị.",Viên nén,,,https://thuocbietduoc.com.vn/thuoc-32964/reniate.aspx
VN-9342-09,Dilorop Eye Drops,,,Dung dịch nhỏ mắt,,,https://thuocbietduoc.com.vn/thuoc-30798/dilorop-eye-drops.aspx
VN-9077-09,Duremid Tab. 10mg,,,Viên nén không bao,,,https://thuocbietduoc.com.vn/thuoc-30811/duremid-tab-10mg.aspx
VD-25980-16,Atenstad 50,Atenolol 50mg,"Chỉ định Atenolol
Cao huyết áp: Atenolol được chỉ định dùng cho bệnh nhân cao huyết áp nhẹ hoặc trung bình. Thuốc thường được dùng kết hợp với các thuốc khác, đặc biệt là một thuốc lợi tiểu loại thiazide. Tuy nhiên thuốc có thể được dùng thử riêng rẽ như một tác nhân khởi đầu ở những bệnh nhân dưới sự xét đoán của bác sĩ nên bắt đầu dùng một thuốc ức chế bêta hơn là thuốc lợi tiểu. Atenolol có thể được dùng kết hợp với thuốc lợi tiểu và/hoặc thuốc giãn mạch để điều trị cao huyết áp nặng. Sự kết hợp atenolol với một thuốc lợi tiểu hay một thuốc giãn mạch ngoại vi đã được chứng minh có sự tương hợp. Thí nghiệm giới hạn với những thuốc hạ huyết áp khác không cho thấy bằng chứng về tương kỵ với atenolol. Không nên dùng atenolol cho trường hợp cấp cứu cao huyết áp. Ðau thắt ngực: Atenolol được chỉ định điều trị lâu dài bệnh nhân đau thắt ngực do thiếu máu cơ tim cục bộ.",Viên nén bao phim,,,https://thuocbietduoc.com.vn/thuoc-53941/atenstad-50.aspx
