so_dang_ky,ten_thuoc,hoat_chat,noi_dung_dieu_tri,dang_bao_che,danh_muc,ham_luong,url_nguon
VD-2146-06,Nisitanol,Nefopam hydrochloride,"Chỉ định Nefopam
Cơn đau cấp & mạn tính các loại: đau do thần kinh, đau đầu, đau cơ, chứng co thắt, đau răng, đau bụng kinh, đau do chấn thương, đau hậu phẫu, viêm tụy mạn tính, cơn đau sỏi mật, cơn đau quặn thận, đau do ung thư.",Dung dịch tiêm,,,https://thuocbietduoc.com.vn/thuoc-16242/nisitanol.aspx
VD-27983-17,Hemol 750mg,Methocarbamol 750mg,"Chỉ định Methocarbamol
Ðau lưng cấp tính do co thắt cơ, co thắt cơ xương, thoát vị đĩa đệm. 
Ðau do gãy xương hoặc trật khớp. 
Co thắt cơ do kích ứng thần kinh hoặc chấn thương, sau phẫu thuật chỉnh hình. Viêm xơ vi sợi, vẹo cơ, viêm lồi cầu đốt sống, chứng nghiến răng, viêm cơ và vọp bẻ chân vào buổi tối.",Viên nén,,,https://thuocbietduoc.com.vn/thuoc-56500/hemol-750mg.aspx
VD-29457-18,Nootryl 800,Piracetam 800 mg,"Chỉ định Piracetam
Điều trị các triệu chứng chóng mặt. Các tổn thương sau chấn thương sọ não và phẫu thuật não: rối loạn tâm thần, tụ máu, liệt nửa người và thiếu máu cục bộ.  Các rối loạn thần kinh trung ương: chóng mặt, nhức đầu, lo âu, sảng rượu, rối loạn ý thức. Suy giảm trí nhớ, thiếu tập trung, sa sút trí tuệ ở người già. Thiếu máu hồng cầu hình liềm. Các trường hợp thiếu máu cục bộ cấp. Điều trị nghiện rượu. Điều trị thiếu máu hồng cầu liềm. Dùng bổ trợ trong điều trị giật rung cơ có nguồn gốc vỏ não.",Viên nén bao phim,,,https://thuocbietduoc.com.vn/thuoc-57445/nootryl-800.aspx
VD-23241-15,Doterco 50,Eperison hydroclorid 50 mg,"Chỉ định Eperisone
Cải thiện các triệu chứng tăng trương lực cơ liên quan đến những bệnh sau: hội chứng đốt sống cổ, viêm quanh khớp vai và thắt lưng. 
Liệt cứng liên quan đến những bệnh sau: bệnh mạch máu não, liệt cứng do tủy, thoái hóa đốt sống cổ, di chứng sau phẫu thuật (bao gồm cả u não tủy), di chứng sau chấn thương (chấn thương tủy, tổn thương đầu), xơ cứng cột bên teo cơ, bại não, thoái hóa tủy, bệnh mạch máu tủy và các bệnh lý não tủy khác.",Viên nén bao phim,,,https://thuocbietduoc.com.vn/thuoc-50355/doterco-50.aspx
VN-6578-08,Coryol 6.25mg Tablets,Carvedilol,"Chỉ định Carvedilol
Carvedilol 6,25, Carvedilol 12,5, Carvedilol 25: Ðiều trị suy tim ứ huyết có triệu chứng: Carvedilol được chỉ định trong điều trị suy tim ứ huyết có triệu chứng để hạ thấp tỷ lệ tử vong và số lần nhập viện do bệnh lý tim mạch, cải thiện cảm giác khỏe khoắn của bệnh nhân và làm chậm tiến triển của bệnh. Carvedilol có thể được kết hợp với điều trị tiêu chuẩn, và thuốc cũng có thể được sử dụng trên những bệnh nhân không dung nạp được thuốc ức chế men chuyển hay những bệnh nhân không thể điều trị với digitalis, hydralazine hay nitrate. Carvedilol 25: - Cao huyết áp nguyên phát: Carvedilol được chỉ định để điều trị cao huyết áp nguyên phát. Thuốc có thể sử dụng đơn độc hay phối hợp với các thuốc điều trị cao huyết áp khác, đặc biệt là với các thuốc lợi tiểu thuộc nhóm thiazide. - Ðiều trị cơn đau thắt ngực.",Viên nén,,,https://thuocbietduoc.com.vn/thuoc-28621/coryol-625mg-tablets.aspx
V1382-H12-10,Kim long,"Huyền sâm, Sinh địa, Hạ liên thảo, Cam thảo, Thương nhĩ tử, Mộc tặc","Chỉ định
Trị viêm mũi dị ứng, viêm xoang cấp và mãn tính, giúp tiêu viêm, điều trị các chứng hắt hơi, sổ mũi, ngạt mũi, nhức đầu do viêm xoang và chảy máu cam.


Trục mủ, tiêu viêm chữa chứng hắt hơi sổ mũi, ngạt mũi, mặt mũi đau nhức, chảy máu cam.


Giúp phục hồi chức năng của thận, giúp hoạt khí, cân bằng âm dương trong cơ thể.


Giúp tiêu viêm, đẩy các chất nhầy, mủ cùng các hoại tử ra khỏi các hốc xoang, góp phần trị dứt điểm viêm mũi dị ứng, viêm xoang cấp và mãn tính.


Hỗ trợ điều trị các chứng hắt hơi, sổ mũi, ngạt mũi và chảy máu cam.",Hoàn cứng,,,https://thuocbietduoc.com.vn/thuoc-31837/kim-long.aspx
VN-17461-13,Caplor,Clopidogrel (dưới dạng Clopidogrel bisulphate) 75mg,"Chỉ định Clopidogrel
Dự phòng nguyên phát các rối loạn do nghẽn mạch huyết khối như nhồi máu cơ tim, đột quỵ & bệnh động mạch ngoại biên. Kiểm soát & dự phòng thứ phát, ở bệnh nhân xơ vữa động mạch mới bị đột quỵ, mới bị nhồi máu cơ tim, hoặc bệnh động mạch ngoại biên đã xác định.",Viên nén bao phim,,,https://thuocbietduoc.com.vn/thuoc-44934/caplor.aspx
QLĐB-600-17,Dinara,Tenofovir disoproxil fumarat 300mg; Lamivudin 100mg,"Chỉ định Tenofovir
Điều trị nhiễm HIV-týp 1 (HIV-1) ở người lớn, kết hợp với các thuốc kháng retrovirus khác (không dùng riêng lẻ).
Phòng ngừa nhiễm HIV sau khi đã tiếp xúc với bệnh (do nghề nghiệp hay không do nghề nghiệp) ở người có nguy cơ lây nhiễm virus, kết hợp với các thuốc kháng retrovirus khác.
Điều trị viêm gan siêu vi B mãn tính ở người lớn khi đã đề kháng với lamivudin.",Viên nén bao phim,,,https://thuocbietduoc.com.vn/thuoc-55919/dinara.aspx
VN-20785-17,Sporal,Itraconazol 100mg,"Chỉ định Itraconazole
Itraconazole được chỉ định cho điều trị các trường hợp sau: - Phụ khoa: Candida âm đạo-âm hộ. - Ngoài da, niêm mạc, nhãn khoa: nhiễm nấm ngoài da, lang ben, nhiễm Candida ở miệng, viêm giác mạc mắt do nấm. - Nấm móng do dermatophyte và/hoặc nấm men. - Nấm nội tạng: nhiễm nấm nội tạng do nấm Aspergillus và Candida, nhiễm nấm Cryptococcus (kể cả viêm màng não do Cryptococcus: ở những bệnh nhân suy giảm miễn dịch bị nhiễm Cryptococcus và hầu hết các bệnh nhân nhiễm Cryptococcus ở hệ thần kinh trung ương, chỉ sử dụng Itraconazole khi liệu pháp ban đầu tỏ ra không phù hợp hoặc vô hiệu), nhiễm nấm Histoplasma, Sporothrix, Paracoccidioides, Blastomyces và các nhiễm nấm nội tạng hoặc nhiễm nấm vùng nhiệt đới hiếm gặp khác.",Viên nang cứng,,,https://thuocbietduoc.com.vn/thuoc-58249/sporal.aspx
VN-17127-13,Sucracid Suspension,Sucralphat 1000mg/5ml,,Hỗn dịch,,,https://thuocbietduoc.com.vn/thuoc-45452/sucracid-suspension.aspx
VD-24491-16,Audogyl,Spiramycin 750.000 IU; Metronidazol 125 mg,"Chỉ định Spiramycin
Các bệnh nhiễm do vi khuẩn nhạy cảm: - Viêm họng. - Viêm xoang cấp. - Bội nhiễm viêm phế quản cấp. - Cơn kịch phát viêm phế quản mãn. - Viêm phổi cộng đồng ở những người: - không có yếu tố nguy cơ, - không có dấu hiệu lâm sàng nặng, - thiếu những yếu tố lâm sàng gợi đến nguyên nhân do pneumocoques. Trong trường hợp nghi ngờ viêm phổi không điển hình, macrolides được chỉ định trong bất cứ trường hợp bệnh nặng nhẹ hoặc cơ địa nào. - Nhiễm trùng da lành tính: chốc lở, chốc lở hóa của bệnh da, chốc loét, nhiễm trùng da-dưới da (đặc biệt viêm quầng). - Nhiễm trùng miệng. - Nhiễm trùng sinh dục không do lậu cầu. - Phòng ngừa viêm màng não do màng não cầu: Trong trường hợp chống chỉ định với rifampicine, mục đích là diệt N. meningitidis ở mũi hầu. Spiramycine không dùng để điều trị viêm màng não do màng não cầu, mà chỉ được chỉ định trong phòng ngừa cho bệnh nhân đã điều trị lành bệnh, trước khi trở lại sinh hoạt trong tập thể và cho người đã tiếp xúc với bệnh nhân trong 10 ngày trước khi nhập viện. - Phòng ngừa tái phát thấp khớp cấp ở bệnh nhân dị ứng với penicillin. - Bệnh Toxoplasma ở phụ nữ có thai.",Viên nén bao phim,,,https://thuocbietduoc.com.vn/thuoc-52455/audogyl.aspx
