so_dang_ky,ten_thuoc,hoat_chat,noi_dung_dieu_tri,dang_bao_che,danh_muc,ham_luong,url_nguon
VN-8587-04,Cefadroxil,Cefadroxil,"Chỉ định Cefadroxil
Cefadroxil được chỉ định điều trị các nhiễm khuẩn gây ra do các vi khuẩn nhạy cảm sau đây:Nhiễm khuẩn đường tiểu cấp, mãn, có biến chứng và tái phát. Nhiễm khuẩn da và cấu trúc da. Viêm họng và viêm amidan do streptococci tan huyết beta nhóm A, Cefadroxil có hiệu quả trong việc tiêu diệt hoàn toàn Streptococci ở vùng mũi hầu; tuy nhiên hiện tại chưa có các số liệu chứng tỏ hiệu quả của Cefadroxil trong phòng ngừa thấp khớp cấp. Nhiễm khuẩn đường hô hấp dưới, ví dụ: viêm phổi, đợt cấp viêm phế quản mãn, giãn phế quản, vv... Nhiễm khuẩn xương và khớp.",Viên nang,,,https://thuocbietduoc.com.vn/thuoc-5443/cefadroxil.aspx
VN-5921-08,Agenva-k,Metformin Hydrochloride,"Chỉ định Metformin
Metformin hydrochloride là một biguanide hạ đuờng huyết dùng điều trị bệnh tiểu đường không phụ thuộc insulin khi không thể kiểm soát đường huyết bằng chế độ ăn kiêng đơn thuần. Thuốc có thể được kê toa ở những bệnh nhân không còn đáp ứng với các sulfonylurea, thêm vào dẫn chất sulfonylurea đang sử dụng. Ở bệnh nhân béo phì thuốc có thể gây ra giảm cân có lợi, đôi khi tác dụng này là lý do căn bản của sự kết hợp insulin và metformin ở bệnh tiểu đường phụ thuộc insulin.",Viên nén bao phim,,,https://thuocbietduoc.com.vn/thuoc-27120/agenva-k.aspx
VN-6769-08,Mopagen soft cap,Hỗn hợp các Vitamin,,Viên nang mềm,,,https://thuocbietduoc.com.vn/thuoc-28826/mopagen-soft-cap.aspx
VN-0806-06,Synedil-Erempharma,Sulpiride,"Chỉ định Sulpiride
Ðiều trị ngắn hạn các triệu chứng lo âu ở người lớn khi không đáp ứng với các điều trị chuẩn. 
Các rối loạn hành vi nặng (kích động, tự làm tổn thương, bắt chước rập khuôn) ở trẻ trên 6 tuổi, đặc biệt trong bệnh cảnh của hội chứng tự kỷ.",Viên nang-50mg,,,https://thuocbietduoc.com.vn/thuoc-20491/synedil-erempharma.aspx
VNB-3630-05,Oxilar 60mg,Raloxifene,"Chỉ định
Dự phòng & điều trị loãng xương ở phụ nữ sau thời kỳ mãn kinh.",Viên bao phim,,,https://thuocbietduoc.com.vn/thuoc-18623/oxilar-60mg.aspx
VN-3825-07,Rapamune,Sirolimus,,Viên nén-1mg,,,https://thuocbietduoc.com.vn/thuoc-19677/rapamune.aspx
VNA-2973-00,"Otdin 0,1%",Xylometazoline,"Chỉ định Xylometazoline
- Sổ mũi, nghẹt mũi trong cảm lạnh, cúm và do các nguyên nhân khác. - Trợ giúp tải các dịch tiết khi bị tổn thương vùng xoang. - Hỗ trợ điều trị sung huyết niêm mạc mũi họng trong viêm tai giữa. - Tạo điều kiện nội soi mũi dễ dàng.",Thuốc xịt mũi,,,https://thuocbietduoc.com.vn/thuoc-23008/otdin-01.aspx
VD-3134-07,Nifedipin 10mg,Nifedipine,"Chỉ định Nifedipine
Nifedipine 10mg: - Dự phòng cơn đau thắt ngực: đau thắt ngực do cố gắng, đau thắt ngực tự phát (bao gồm đau thắt ngực Prinzmetal): dùng đường uống. - Ðiều trị cơn cao huyết áp: ngậm dưới lưỡi. - Ðiều trị triệu chứng hiện tượng Raynaud nguyên phát hoặc thứ phát - Điều trị cơn: ngậm dưới lưỡi - Dự phòng tái phát: dùng đường uống. - Cao huyết áp. Nifedipine 30mg: - Cao huyết áp. - Ðau thắt ngực ổn định mãn tính (đau thắt ngực do gắng sức).",Viên nén bao đường,,,https://thuocbietduoc.com.vn/thuoc-16561/nifedipin-10mg.aspx
VNB-0571-03,Vân chi 550mg,Nấm Vân chi,"Chỉ định Nấm Vân Chi
 - Nấm Vân Chi kích thích hệ thống miễn dịch của cơ thể, góp phần làm giảm lượng kháng nguyên và gia tăng hình thành kháng thể, kháng lại bệnh tật. 
- Hỗ trợ điều trị các bệnh ung thư cũng như làm giảm tác dụng phụ do hóa trị và xạ trị. - Phục hồi chức năng gan ở bệnh nhân viêm gan cấp và mạn tính. 
- Thuyên giảm mau chóng các triệu chứng buồn nôn, ói mửa và suy nhược, bình thường hóa men gan ALT, AST.",Viên nang,,,https://thuocbietduoc.com.vn/thuoc-16037/van-chi-550mg.aspx
VN-7969-03,Fulsed,Midazolam,"Chỉ định Midazolam
1. Midazolam 5mg/1ml và 5mg/5ml:


* Ở người lớn: 
Gây mê toàn thân: 
- Dẫn mê và duy trì mê trong gây mê toàn thân. 
- Tiền mê. 
An thần không gây mê toàn thân:
- Các thủ thuật gây khó chịu và làm đau: nội soi, đặt catheter tim, chọc dò sinh thiết. - Gây tê cục bộ và gây tê tủy sống. 
* Ở trẻ em: Tiền mê bằng đường trực tràng trước khi gây mê toàn thân.
 2. Midazolam 50mg/10ml: 
An thần kéo dài trong khoa săn sóc tích cực ở các bệnh nhân thở máy.",Dung dịch tiêm,,,https://thuocbietduoc.com.vn/thuoc-15854/fulsed.aspx
